"","X","Data.Precipitation","Date.Full","Data.Temperature.Avg.Temp","Data.Temperature.Max.Temp","Data.Temperature.Min.Temp","Data.Wind.Direction","Data.Wind.Speed","city"
"1",1,0,"2016-01-03",39,46,32,33,4.33,"Kisumu"
"2",2,0,"2016-01-03",39,47,31,32,3.86,"Malindi"
"3",3,0.16,"2016-01-03",46,51,41,35,9.73,"Kisumu"
"4",4,0,"2016-01-03",45,52,38,32,6.86,"Eldoret"
"5",5,0.01,"2016-01-03",34,38,29,19,7.8,"Nakuru"
"6",6,0.09,"2016-01-03",38,44,31,9,8.7,"Nairobi"
"7",7,0.05,"2016-01-03",30,36,24,9,16.46,"Kisumu"
"8",8,0.15,"2016-01-03",22,32,9,2,3.1,"Mombasa"
"9",9,0.6,"2016-01-03",34,36,31,20,9.1,"Mombasa"
"10",10,2.15,"2016-01-03",38,43,33,9,9.76,"Nairobi"
"11",11,0,"2016-01-03",31,39,23,14,17.9,"Malindi"
"12",12,0,"2016-01-03",14,30,4,2,2.2,"Nairobi"
"13",13,0.02,"2016-01-03",27,34,19,14,8.23,"Kisumu"
"14",14,1.22,"2016-01-03",39,42,35,9,11.26,"Nairobi"
"15",15,0,"2016-01-03",40,42,37,9,19.76,"Eldoret"
"16",16,0.7,"2016-01-03",36,40,31,10,9.23,"Malindi"
"17",17,0.14,"2016-01-03",34,37,30,6,11.2,"Nairobi"
"18",18,0.17,"2016-01-03",37,41,33,15,6.16,"Malindi"
"19",19,0.05,"2016-01-03",39,42,35,10,18.83,"Nairobi"
"20",20,1.3,"2016-01-03",40,42,36,11,21.8,"Nairobi"
"21",21,0.1,"2016-01-03",27,33,20,11,11.76,"Nairobi"
"22",22,0.01,"2016-01-03",30,39,20,15,3.7,"Malindi"
"23",23,0.08,"2016-01-03",29,32,25,6,12.86,"Nakuru"
"24",24,0,"2016-01-03",0,8,-9,20,0.36,"Eldoret"
"25",25,0.4,"2016-01-03",37,42,32,8,10.5,"Eldoret"
"26",26,0,"2016-01-03",60,60,60,18,1.83,"Kisumu"
"27",27,0,"2016-01-03",60,60,60,0,0,"Kisumu"
"28",28,0,"2016-01-03",60,60,60,0,0,"Nakuru"
"29",29,0.37,"2016-01-03",43,46,39,19,11.26,"Nakuru"
"30",30,0.55,"2016-01-03",38,42,33,14,5.2,"Malindi"
"31",31,0.15,"2016-01-03",32,35,29,22,9.03,"Mombasa"
"32",32,0.04,"2016-01-03",32,39,23,2,4.93,"Eldoret"
"33",33,0,"2016-01-03",21,29,13,8,3.83,"Nairobi"
"34",34,0.05,"2016-01-03",6,9,2,6,13.76,"Nakuru"
"35",35,2.42,"2016-01-03",36,40,32,11,5.93,"Kisumu"
"36",36,0,"2016-01-03",41,57,24,6,4.2,"Nakuru"
"37",37,0,"2016-01-03",40,54,25,4,4.2,"Nakuru"
"38",38,0,"2016-01-03",58,69,45,13,5.8,"Mombasa"
"39",39,0,"2016-01-03",56,69,43,12,12.93,"Nairobi"
"40",40,0,"2016-01-03",29,42,15,27,2.7,"Nairobi"
"41",41,0,"2016-01-03",39,51,27,27,5.16,"Nairobi"
"42",42,0,"2016-01-03",38,48,27,29,7.4,"Malindi"
"43",43,0,"2016-01-03",42,49,34,0,0,"Kisumu"
"44",44,0,"2016-01-03",47,60,33,34,2.2,"Eldoret"
"45",45,0,"2016-01-03",27,42,12,32,3.06,"Eldoret"
"46",46,0,"2016-01-03",35,49,21,21,1.56,"Nairobi"
"47",47,0,"2016-01-03",44,51,37,6,4.06,"Eldoret"
"48",48,0.06,"2016-01-03",44,53,33,0,0,"Kisumu"
"49",49,0,"2016-01-03",46,55,36,25,0.86,"Mombasa"
"50",50,0,"2016-01-03",47,53,41,6,6.56,"Malindi"
"51",51,0,"2016-01-03",54,65,43,24,2.13,"Malindi"
"52",52,0,"2016-01-03",55,63,45,15,2.76,"Malindi"
"53",53,0,"2016-01-03",44,50,36,33,7.73,"Eldoret"
"54",54,0,"2016-01-03",45,51,38,34,6.16,"Nairobi"
"55",55,0,"2016-01-03",44,52,34,34,3.63,"Nakuru"
"56",56,0,"2016-01-03",49,57,41,8,6.46,"Eldoret"
"57",57,0,"2016-01-03",55,64,45,24,1.83,"Nairobi"
"58",58,0.04,"2016-01-03",46,51,41,10,4.43,"Kisumu"
